UserID,State,Major
133256,FL,Criminal Justice
134586,MO,Not Applicable
135374,KS,
135731,MO,Business
136013,NJ,
136198,AZ,High School Diploma
136555,VA,DBA - Leadership (ABD)
137176,GA,Health Service Management
137422,GA,Marketing/Business Administration
141037,CO,Not Applicable
141241,TX,Computer Engineering Technology
142473,GA,
143235,GA,Public Administration
143331,IL,Electronic and Computer Technology
148743,GA,
149064,TX,
149770,NY,Human Services and Science Monroe Community
152193,GA,Not Applicable
152378,NY,
152406,FL,
154624,MO,
154656,PA,Elementary Education
154711,FL,Electrical Engineering
155637,TX,Business Administration
155984,IN,law School
157145,GA,Systems Engineering
158118,GA,
158148,GA,Industrial
158333,IL,
159679,PA,
159921,CO,
164677,MD,Barbering
165806,GA,Management and Marketing
168211,IL,Business Administration
168230,MO,Child Development
170043,KY,
170176,PA,
170315,GA,BUSINESS ADMINISTRATION
170567,CT,
173096,FL,Health Education & Behavior
173238,GA,Not Applicable
174023,CA,Spanish
174042,CA,
176506,GA,
176919,MO,Communication Studies/Speech Communication and Rhetoric
177515,DE,
178259,NJ,Business/Office Automation/Technology/Data Entry
178837,AZ,Business Management
179819,TX,Computer Science/Physics
180036,DE,"Psychology, General"
181116,TX,
183303,MO,"Political Science, and Instrumental Conducting"
183985,IL,Communications
184828,MD,Education
184870,IL,Management
185466,IN,
185849,MI,"Business Management, Accounting"
189005,FL,Business Administration
191253,DE,Not Applicable
191606,GA,Medical
193515,TX,Accounting
193562,FL,Finance
193965,GA,
196521,VA,
197578,GA,Health Administration
198413,CA,
198687,TX,Electronics and Computer Technologies
199580,KY,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing"
201168,MO,Telecommunications
202944,PA,Not Applicable
203198,IL,
203822,MD,Physics
204281,NY,
207119,IN,MATH
207537,CA,Mechanical Engineering
208314,GA,Finance
208618,MI,Business/ Economics
209424,TX,
209874,PA,
211877,PA,Business Management ; Concentration in Human Resources
214304,VA,Not Applicable
214459,CA,
214812,FL,General Studies
215187,IN,
215446,CA,Not Applicable
217702,GA,
219945,,
220764,NY,Mechanical Engineering
220905,CA,Not Applicable
221762,IL,Graphic Design
222710,CA,Leadership Training for Managers
223298,AZ,"Business Administration and Management, General"
226113,NV,education
226417,WI,
227544,VA,Safety and Health Administration
227584,MD,Sociology
228362,TX,Computer Network Systems
228502,FL,Computer Systems Technology
229637,GA,Business Administration
231813,WI,
231985,NY,Not Applicable
234345,TX,Kyocera Technology
237743,CA,Business Administration
238974,IL,Administrative Health
239964,MD,Marketing Management
240472,FL,
240788,GA,Not Applicable
241233,GA,Not Applicable
244880,IL,Finance
246034,MA,Finance
248400,PA,Behavorial Health and Human Services
251481,DE,Not Applicable
251632,CT,General Studies
251639,FL,
253029,TN,Computer Engineering
253637,TX,Not Applicable
253673,VA,Not Applicable
254076,TX,Marketing
254391,IN,Not Applicable
256183,TX,Not Applicable
256690,DC,Not Applicable
256813,IL,Electronic and Computer Engineering
257089,FL,Not Applicable
257939,IL,Computer Aided Design/Architectural Drafting
258326,GA,Psychology
259016,VA,Marketing
264549,DE,Not Applicable
265236,AZ,
265804,TX,Transportation
266102,GA,Diploma
266430,MO,Not Applicable
266683,IN,Mechanical Drives
266939,MO,Chemical Engineering
269695,MN,Industrial Technology
272075,TX,"Management Information Systems, General"
272093,UT,Business
272134,CA,
272993,CO,Finance/Marketing
273895,OH,Not Applicable
274258,CA,Education
276897,IL,Business Management
279655,WA,
279766,PA,Management
280044,GA,
281473,AZ,Business Management
283145,DE,Radiology
283206,OH,Emergency Management/Homeland Security-still
284290,NY,Not Applicable
284368,NM,Professional Counseling
284991,MD,Agriculture
285048,IL,Computer Information Systems
289357,OH,
291519,VA,Marketing
291881,SC,Psychology
291991,PA,Not Applicable
293722,IL,Political Science
296500,GA,marketing
296814,GA,"Marketing/Marketing Management, General"
297255,FL,Human Resources Management
299002,IL,Mass Communication/Media Studies
301110,TX,
303104,TX,
305879,GA,
306720,MD,Business Administration
310571,MD,
317744,MA,Information Technology
322668,GA,Business Administration
323803,GA,
324237,PA,Not Applicable
324489,NY,Accounting
327078,PA,
327577,FL,Communication Arts
328843,CA,Business
331841,OH,Criminal Justice Studies
333086,,Public Administration
334489,FL,
335115,GA,Not Applicable
341237,PA,Computer Science
341971,MD,English & Health
347241,IN,Not Applicable
347515,AZ,
350962,WA,Culinary Arts
351561,OH,Not Applicable
352959,SC,Integrated Information Technology
353772,NJ,Business Administration
357663,CO,Project Management
366518,DE,Accounting
368005,TX,Business Accounting
369529,IL,Journalism
379548,FL,English Literature
379942,LA,Not Applicable
380363,IN,Not Applicable
380811,DE,Not Applicable
381767,FL,
382768,MI,Marketing
383670,DE,HTML and Electronics
383876,IL,Not Applicable
385265,WA,Technology
385935,IN,Digital Media Design/Computer Science
386227,FL,Not Applicable
386859,TX,Computer Science
387087,GA,
387182,NY,Business Administration
387478,CA,Business Administration
388131,MI,
392605,WA,Electrical Engineering
393459,SC,Electrical Engineering
393669,GA,
397265,OH,Culinary Arts
398647,DE,Technology Management
399348,NC,Forestry
406748,CA,Psychology
406852,OR,
407160,DE,
408860,IL,
410602,FL,Not Applicable
410757,DE,Economics
412446,FL,General Studies
412515,CA,Business Administration
413040,IL,Architecture
413405,NY,
413619,MD,Not Applicable
414027,FL,Not Applicable
414456,MD,Healthcare Administration
415147,CA,Design
415524,KY,Not Applicable
415664,MI,Not Applicable
417205,GA,Managerial Science
417702,NY,History
419430,TX,Court Reporting
420222,CA,Not Applicable
421390,,HISTORY
422173,IN,Not Applicable
422456,GA,Conflict Resolution & Legal Studies
429751,FL,Medical Assistant
432589,IL,Accounting
433226,IN,Industrial plastics
433263,CA,
434262,CA,Business Management/Administration
434461,MD,History
434542,MI,Not Applicable
438202,AZ,Not Applicable
438512,GA,
438801,GA,Not Applicable
439883,MI,Culinary Arts
440903,IL,Not Applicable
441764,TX,Business Technology
442713,IL,Sociology
444605,TX,Not Applicable
444670,IN,Major in Mechanical Engineering- Minor in Graphic Arts
444682,FL,Master of Science in Psychology
444773,LA,Not Applicable
445406,WA,Not Applicable
447324,MD,
447922,Maharashtra,
448764,NY,Liberal Arts
449803,FL,Forensic Accounting
453194,GA,Science Architecture
454386,CA,Not Applicable
457099,GA,Network and Communications Management
459774,TX,Psychology/Science
463251,NY,Economics
464096,CA,Not Applicable
465571,CA,Business Administration
466962,OH,Not Applicable
467770,GA,Not Applicable
469794,IN,MBA
472662,NV,Engineering Design
474547,IL,Computer Science
474928,FL,
475322,TX,Business Management
475722,GA,Communication
476855,AZ,Cleveland Clinic Foundation
477454,TX,
478252,TX,Accounting
478431,NY,Human services
478937,KY,General Education
481522,FL,
482622,AL,basic electronics
482877,CO,Education
483887,MD,General
487010,CA,
487764,IL,
489237,NJ,commerce
490489,FL,CNA
492926,CA,Automated Food Service Accounting
494572,CA,Electronics
496861,NY,Economics
498081,TN,Organizational Management
499070,OH,Accounting & Financing
500610,WI,general studies
503887,GA,
504173,IN,
509052,GA,Fire Science
509778,CA,Student Government Association
511578,MD,Business of Administrator/Accounting
514371,IL,
516820,CA,Not Applicable
522455,WA,Not Applicable
524901,GA,Business
527009,OH,Physical Education
527339,CA,Theatre Arts
527868,CA,Mechanical Drafting & Blue Print
528671,CA,Baking and Pastries
529066,MI,Applied Sciences
536630,OH,Business Management
538953,CA,Business/Accounting
541130,CA,Computer Science
545340,PA,Law
547448,IL,
551654,PA,Clinical Counseling
552608,TX,Not Applicable
555049,FL,Medical
555349,MO,
555970,MO,
556660,CA,Computerized Office Occupations
556964,IN,Not Applicable
557256,AZ,
558846,TX,Kinesiology
565822,FL,Not Applicable
568535,VA,
569144,VA,Psychology B
570025,,
570470,NJ,Not Applicable
573902,TX,Communication
574215,NY,
576622,GA,Not Applicable
578070,OH,Traditional Mathematics
583424,IL,Emphases
583916,MO,Park Hills
584169,IN,Not Applicable
584365,GA,
584823,OH,Not Applicable
585053,PA,Medical Coding/Billing
586358,MD,Speech and Communication
587559,FL,Not Applicable
587755,IN,Criminal Justice
589539,GA,Business/Office Automation/Technology/Data Entry
591172,GA,Information Systems
595857,IL,
600236,GA,Accounting
602961,MD,Accounting
603348,IL,HOSPITALITY AND FOOD SERVICE MANAGEMENT
605733,MO,
607615,NY,
609023,AR,Computer Aided Drafting and Design
610188,IN,Not Applicable
612207,NC,Computer Information Systems & Sociology
614280,TX,Personal Financial Planning
616050,TX,Communications
616219,NY,Accounting
616971,DC,Early Childhood
619299,GA,
619690,IN,Not Applicable
622988,PA,Business Management
623289,FL,
627100,FL,Not Applicable
627666,NJ,Not Applicable
628041,IL,Not Applicable
628656,NC,Education:  Curriculum Development
629232,,information system and management
633279,FL,
634269,IL,
635104,PA,Not Applicable
635727,NY,
637444,AZ,
637550,GA,Marketing
637560,CO,Broadcast Journalism
641940,NY,
642360,SC,
642805,KS,Regular/General High School/Secondary Diploma Program
643033,PA,Secondary School Counseling
643240,IL,Not Applicable
643384,TX,ITT Technical
643937,GA,Business Management
648720,NY,Computer Science
649826,CA,Applied Business
653474,MO,Not Applicable
655543,MO,Dental Assisting
657935,TX,Business Administration
659806,VA,
659965,CA,Business Administration/ Accounting
661279,KS,
661327,AZ,Project Management
664988,GA,Business Administration
666876,WI,Healthcare Business
667335,MD,Electronics
667603,FL,Not Applicable
669026,OH,African American Studies
669647,GA,College/University Preparatory and Advanced High School/Secondary Diploma Program
670527,DE,Business and Administration
671576,OH,Managerment
672836,NY,Liberal Arts
676446,TX,Not Applicable
676496,IL,Business
677559,GA,Graduate
681435,FL,"Marketing/Marketing Management, General"
681916,NY,Nursing
682864,TX,
684459,MO,"Education, General"
685253,AZ,Accounting
685558,GA,
686589,TX,"sales management and marketing, advertising and public relation, business management and administration"
689484,CA,
689577,GA,Computer Programming using C
691935,GA,Deploma
692145,TX,
693081,NJ,Management & Finance
693497,FL,
693566,CA,Not Applicable
695329,MI,Electronics and Computer Technology
697000,MO,Health Science
697024,TX,Not Applicable
697170,NY,Accounting
698019,CA,
699269,GA,Communication
700964,OH,Not Applicable
702093,TN,Not Applicable
703466,MN,Nutrition and Dietetics
703608,TN,Science/Limited Scope X-Ray
704206,IL,
704711,GA,
705689,CA,General Studies
706678,FL,
710776,NV,Business/ Accounting
714632,NJ,
715390,MD,Not Applicable
715759,GA,
718520,IL,
719967,MD,general computers
720758,OH,Industrial and Manufacturing Systems Engineering
721300,NC,
721499,TX,
722219,FL,
723821,TX,Digital Filmmaking and Video Production
723867,TX,Business Administration
725649,CA,
726242,TX,(NSS) IT Tech
726857,TX,Health/Kinesiology and Christian Ministries
729507,IL,Communication
729576,FL,Nursing
731107,OH,Health Technology
732007,IN,"Business Administration and Management, General"
733517,MI,Integrated Science
733910,NJ,Communications /Advertising
734051,IL,Gender & Women's Studies
734235,FL,
735314,TX,Business
735961,CA,P.E
738027,CT,Business Administration
739403,MO,"Marketing/Marketing Management, General"
739547,GA,Accounting
740008,CA,Medical Assisting
741231,GA,education
742852,CA,
744001,TN,Psychology
748406,FL,Health Science
748606,IL,Mechanical Engineering
749389,IN,General Ministry
750217,IL,
751537,GA,Biology
752236,DE,Psychology
753210,GA,
753483,WI,Management and Organizational Behavior
753907,IN,Adult Education
754083,AZ,
754662,FL,Exercise Science & Wellness
757747,GA,Cosmetology/Business Administration
758296,TX,
758464,IN,Business Administration
759822,WI,Transportation
760315,CO,Business Administration
761020,IL,Photography
761221,OH,
762514,IN,Not Applicable
762941,DE,
763035,KY,Not Applicable
763336,IL,Not Applicable
764425,DE,
765204,NJ,Chemistry
765531,GA,
765929,FL,Not Applicable
767532,IL,Not Applicable
768360,GA,EDUCATION
770689,TX,Communication
772964,IL,Construction Management
774789,SC,Business Administration
774804,TX,MIBC
775035,PA,
776165,IL,Philosophy/Politics
779555,TX,Engineering Management
780139,FL,Not Applicable
780428,MO,Psychology
781804,NY,Mental Health Counseling
782317,CA,Automotive Technology
782866,TX,Psychology
782874,TN,Exercise Science
783029,IL,Law Enforcement Administration
786571,TX,Not Applicable
790152,GA,
790223,VA,
790331,MD,Not Applicable
791408,TX,Business Administration Marketing
791756,DE,Business Administration
793350,DE,Communications Technology Training
795040,FL,
798437,OH,
798931,TX,Electrical Engineering/Psychology
799064,IL,Business Finance
799516,TX,Criminal Justice
801550,FL,Business Administration
801900,UT,
801965,IL,Not Applicable
802296,NJ,Business Administration with concentrations in Finance and Real Estate
802679,GA,Political
803134,MI,Not Applicable
803266,NJ,Business Administration
803788,MD,Accounting
804785,CO,Marketing
808222,FL,general studies
808440,DE,
810392,SC,General
810765,FL,Pre-Nursing
810995,GA,Information Systems
813775,WA,Business
814361,FL,
816327,DE,Accounting/Business
817063,TX,Not Applicable
818322,FL,
819039,NC,
819277,FL,Systems Science
819413,MO,Marketing
821350,FL,Insurance
825514,IL,Graphic Design
827925,TX,accordance
828185,NV,Psychology & Physical Education
828239,GA,OIP
829615,OH,Not Applicable
830068,OR,General studies
830944,NY,
832152,TX,General Business
833543,FL,Sociology/Anthropology
834180,TX,Medical Transcription
834418,GA,
835310,TX,Not Applicable
836836,IL,
838154,VA,
838387,TX,Instruction and Technology
838693,CA,Business Administration
838775,GA,Business Management
838783,TX,
839524,FL,
839645,KS,Management In Collision and Refinishing
841886,VA,Computer Information Systems
842126,GA,General Studies
842171,NY,
842454,LA,
845398,GA,Accounting
846914,FL,Diploma
847498,TX,LVN
851509,MD,Medical Assistant Program
851748,IL,Not Applicable
853490,IL,
853495,IN,
853630,IL,Biology
854283,AZ,Computer Information Services
854313,NY,Transportation
855026,CT,Accounting
855372,NJ,Pharmaceutical Manufacturing Engineering
855887,WA,Business Management
858666,GA,
859403,GA,
860540,CA,"Education, General"
864829,CA,Engineering
866257,CA,General Studies
866694,FL,"Business Administration and Management, General"
867270,MI,Food Service
867930,OH,
872179,NJ,Business Finance
872447,FL,Medical Assistant
874227,IL,Accounting
876998,TX,
877982,PA,Nursing Home Administrator Program
878103,GA,General Studies
884687,TN,
886427,NE,
887386,TX,Not Applicable
888911,CA,
891378,NY,
892976,KY,Administrative Assistant
893035,DE,Business Skills Certificate
897068,IN,information technology
897694,IN,diploma
898421,AZ,Political Science
900780,CA,Economics
900898,TX,Management
901327,DC,
901846,NJ,Not Applicable
902780,NY,Computer Science
902812,NJ,Business Management
904275,FL,
905068,TX,Not Applicable
906088,FL,Not Applicable
907100,FL,Mental Health Counseling
907398,CA,General Studies
909263,IN,machine trades
909776,NY,EQUIVALENT ENGLISH LAW
910525,TN,Psychology
911081,IL,Human Resource Management
911175,PA,Industrial and Systems Engineering
914947,FL,Political Science
915465,CA,
916321,NY,Accounting and Finance
916859,FL,Network Systems Technology
921799,GA,New College/Nursing
922949,FL,Science
923476,PA,Psychology and Sports Medicine
923668,OH,
923754,GA,Not Applicable
925573,NY,Northcoast Medical Training Academy
926101,TX,Finance
926355,NY,Liberal Arts
926474,OH,"Business/Commerce, General"
926919,NY,Accounting
926920,,Not Applicable
928015,AL,
928545,TX,Not Applicable
929813,GA,Criminal Justice
931603,GA,Computer Science
931981,FL,Electrical mechanical
932473,CA,"Economics, Psychology"
935204,MO,Business Administration
935522,GA,Marketing
936837,DE,Behavioral Sciences
939007,IN,
939343,TX,
939840,IN,
940849,GA,Bqsic Studies
942787,DE,
942957,OH,
944286,AZ,Business management
944386,MD,General
945549,GA,Medical
946950,GA,Business Management
950519,FL,Not Applicable
951239,TX,Health/Wellness
951325,TX,Diploma
951364,OH,Auto Diesel Repair
955165,FL,Medical Terminology
957106,FL,Library Science
958388,NY,Accounting
959992,IL,AODA Certification
960236,NY,
961111,CA,
961881,DE,Human Services
963422,OH,Not Applicable
963521,DE,Not Applicable
963564,IL,Civil Branch
963850,TX,
965414,FL,"Education, General"
965638,FL,Criminal Justice Administration
967322,NY,Law
970456,PA,Not Applicable
970710,Andhra Pradesh,Industrial Engineering
971948,MD,
972901,NV,Health Care Administration
976211,GA,Automotive Technology
978196,TX,Information Technology
980685,TX,Management/Finance
980796,GA,
981200,DE,Mechanical Engineering
981803,TX,COMPUTER INFORMATION SYSTEMS
985104,TX,Not Applicable
985178,TX,Mechanical Engineering Technology
985229,IL,
987317,FL,
987433,IL,Biology
987475,OH,
988744,TN,Thermal Dynamics and Mechanical Design
989274,IL,Criminal Justice
989378,MI,Interp ersonal and Public
991016,FL,Business Manangement
991938,TX,
992325,GA,Fashion Merchandising
992407,MI,Not Applicable
992530,CA,
994146,GA,
996320,GA,Business Admin
998083,TX,
999358,OH,Not Applicable
1000350,MI,Applied Science/Building Engineering
1000387,FL,Child Daycare Management
1000818,GA,Medical Assistant
1002382,GA,
1005168,CA,Not Applicable
1006395,MI,Early Childhood
1008631,DE,
1009396,MI,Not Applicable
1009936,LA,"Nursing/Registered Nurse (RN, ASN, BSN, MSN)"
1010107,FL,
1011675,TX,Not Applicable
1012593,NY,Nursing
1013429,TX,Accounting and Finance
1013538,GA,
1013936,TX,Human Resources & Organizational Behavior
1014936,MI,
1017006,MI,Stenography
1017582,OK,Masters of Education
1017885,TX,"Marketing/Marketing Management, General"
1021489,TX,Computer Maintenance Technology
1022310,MI,Multidisciplinary Studies
1024922,IL,English as a Second Language
1025225,AZ,"Business Administration and Management, General"
1025707,CA,general stuides
1026394,TX,"Business/Commerce, General"
1028246,VA,Medical Assisting
1030076,TX,Fire Investigator
1030271,CA,Sociology
1031267,NJ,English
1032152,OH,Technology
1032622,GA,Allied Medical Schools
1033415,GA,Business Management
1033940,OH,Basic Office Skills
1033997,PA,Management
1034450,NJ,Finance
1034778,IN,
1036134,GA,Not Applicable
1036786,OH,Not Applicable
1036972,CA,
1037832,CA,
1039912,WI,Veterinary Technician
1042723,NY,Finance
1044216,GA,
1046454,CA,
1047674,FL,International Relations
1050047,TX,Bible/Biblical Studies
1050815,AL,
1053059,IN,"Business Administration and Management, General"
1056042,IL,Automobile/Automotive Mechanics Technology/Technician
1056098,IL,Business Administration/Management
1056274,GA,Secretarial Studies
1057449,PA,Not Applicable
1057535,GA,Welding & Joining Technology
1057754,CA,Native English
1058205,MD,"Psychology, General"
1058509,FL,Business Administration/Medical Secretary
1059210,FL,Medical Assistant Technician
1059952,FL,Computer science
1060093,CA,
1062334,NY,Accounting
1063656,SC,
1064233,FL,diploma
1064881,AZ,Health Care Management
1065443,MO,Not Applicable
1065519,AR,Finance
1066708,MI,Industrial Millwright
1068458,FL,Medical Terminology
1070259,KS,Medical Insurance Coding Specialist/Coder
1070355,TN,Not Applicable
1072181,TN,Not Applicable
1072461,NJ,diploma
1072996,IN,CRIMINAL JUSTICE
1074120,FL,Early Childhood Education and Teaching
1074473,OH,Computer Science
1077697,DE,
1078456,TX,
1078756,DE,
1079294,NV,Fine Art Illustration and Design
1079427,TX,
1079655,SC,Electrical Engineering
1081860,CA,HVAC
1082387,IN,General Studies
1083228,TX,
1083751,DE,Not Applicable
1084263,GA,Business Administration
1084313,LA,
1085717,NJ,Psychology
1086053,MA,Accounting
1087598,AZ,Business Administration
1087796,MI,Masters of Science in Industrial Engineering
1088778,GA,
1088813,NY,Not Applicable
1090145,KY,
1090639,GA,Business Administration
1091987,NV,Public Health Studies and Business
1094108,AZ,Business Administration
1094549,MI,
1094843,TX,
1095721,OH,Marketing
1096020,IN,Not Applicable
1101805,AZ,Information Technology
1102474,FL,Education
1103162,MD,
1103450,OH,
1104621,IL,Marketing
1106267,AZ,Leadership
1106292,GA,Not Applicable
1106338,GA,Business
1107062,GA,
1107260,TX,Business Administration
1107408,KY,Nursing Program
1107759,GA,"Nursing/Registered Nurse (RN, ASN, BSN, MSN)"
1107861,FL,Not Applicable
1109921,TX,Marketing
1110006,GA,Not Applicable
1110040,IN,Women and Theatre
1112779,KS,Economics
1114618,AZ,
1115140,NJ,Information Technology
1116485,FL,Not Applicable
1116758,IL,Finance
1117735,VA,
1118137,AZ,Business/Japanese
1118303,OK,MLA
1120426,KS,
1120729,DE,Not Applicable
1121952,GA,
1122992,DE,Biological and Biomedical Sciences
1122994,FL,Economics
1123438,DE,Not Applicable
1126292,OH,Not Applicable
1126820,GA,Practical Nursing Program
1126824,TX,Transportation Planning and Logistics
1126932,OH,Not Applicable
1127206,NJ,Electronics Communication and Computer Engineering
1128281,KY,Marketing/Management
1128776,MD,
1130798,GA,
1131746,TX,Business Administration/Project Management
1132003,CA,Business
1132492,MO,"Business Administration and Management, General"
1132659,TX,Not Applicable
1133492,FL,Medical Coding & Billing Specialist
1133862,TX,Computer Support Tech
1134162,GA,Business Management Administrative & Accounting
1136071,NJ,Business Admin
1136684,CA,
1136794,CA,Electrician
1136919,WI,Law
1137660,IL,General Studies
1139187,NC,
1139604,CA,Not Applicable
1140129,TX,Not Applicable
1141580,GA,Associate Information Technology
1144730,VA,Management Information Systems
1147717,TX,Science
1148680,DE,Business Technology
1151201,NY,English Literature
1151237,IA,
1151399,VA,Business Administration
1151670,FL,Legal Assisting
1151716,GA,High School Diploma
1152354,DE,Business
1153053,FL,Health Administrative Management
1154004,GA,Medical
1155037,FL,
1155963,TX,Basic Law Enforcement
1156549,GA,Not Applicable
1157072,NY,Liberal Arts
1158179,MI,Not Applicable
1158608,CA,Business Administration
1159665,FL,Journalism
1160194,CA,
1160456,OH,Accountancy
1162041,IL,
1165594,IL,Elementary Eduaction
1166287,OH,Marketing
1166749,IL,Business Administration
1166870,MI,Accounting and Finance
1170744,CA,Business Administration
1170876,NJ,Not Applicable
1171258,FL,Not Applicable
1176209,DE,Health Career Studies
1177553,DE,
1177712,GA,International Trade
1177885,AZ,
1178092,GA,Not Applicable
1178282,DE,Industrial electronics
1178744,LA,General
1178810,FL,Liberal Arts
1180432,GA,Nursing
1180578,FL,Electrical Engineering
1180965,GA,
1181540,TX,Regular/General High School/Secondary Diploma Program
1181930,GA,
1182492,FL,Computer Information Systems
1183032,FL,ENVIRONMENTAL / CIVIL
1184461,IL,
1185389,FL,Fashion Merchandising/ CO
1186057,CA,"Business Administration and Management, General"
1186235,CA,Business
1186834,GA,
1187579,NY,Dipolma
1187922,TX,Not Applicable
1188057,VA,
1188194,PA,
1188966,MD,
1189521,DE,Not Applicable
1190343,WI,Electronics
1190426,IN,Not Applicable
1190463,OH,Psychology & Management
1190482,CA,Dental Assisting/Assistant
1191122,IN,College/University Preparatory and Advanced High School/Secondary Diploma Program
1191532,TX,all required
1192995,CA,Biology
1195422,CO,Business Marketing
1197751,FL,
1198423,MD,Accounting
1198770,MD,
1198996,TX,Not Applicable
1199943,NY,Financial Management
1200096,TN,
1200512,WI,Chemical Engineering
1201368,FL,GED
1201997,GA,Not Applicable
1204325,MO,
1204854,IL,Political Science
1206310,TX,Business Management
1206513,IL,"Design and Visual Communications, General"
1207079,GA,Business Administration
1207601,IN,History
1207954,TX,
1209644,DE,Liberal Arts
1211383,FL,Human Services/Mental Health
1211555,FL,Paralegal Studies
1211691,IN,Accounting
1213066,NC,Counseling and Psychology
1213511,IL,Not Applicable
1213946,PA,Home Inspection. Acquired a Certification of Completion
1215496,TX,Computer Science
1215618,MD,Human Resource Development
1215743,IL,Electrical Engineering
1217632,VA,"Business Administration and Management, General"
1218121,GA,
1219043,KY,Business
1222123,FL,Licensed Real Estate Salesman
1223295,TX,Engineering
1224240,FL,Science
1224828,NY,Medical Science
1224834,TN,Computer & Electrical Engineering Technology
1225404,CA,Metallurgical Engineering
1228500,DE,Not Applicable
1229837,FL,math
1233652,MI,Communications
1233907,TX,
1234695,DE,Medical
1236345,IL,Industrial Technology Engineering
1237008,IN,General Studies
1237275,IL,
1237972,CA,General Studies
1239032,TN,
1239515,,Business
1242823,CA,
1244398,GA,
1245830,KS,Psychology
1246350,FL,Not Applicable
1246710,IL,Electrical Construction Technology
1247580,PA,Broadcast Communications
1248307,PA,Sports and Health
1249436,CA,Interior Design & Architecture
1251683,SC,Corllins University Online Certificate of Distinction
1253663,FL,College/University Preparatory and Advanced High School/Secondary Diploma Program
1253818,TN,Biology
1254711,CA,Secondary Education and Teaching
1255173,IL,Network and Communications Management
1255677,TX,Computer Electronics and Engineering
1256049,GA,Management
1258201,WA,English
1258277,MI,"Business Administration and Management, General"
1259533,SC,"Business Administration and Management, General"
1260794,FL,Not Applicable
1260827,OH,Psychology
1262680,TX,Religion and Cognition
1263000,AZ,"Business Administration and Management, General"
1263026,KY,Business Management
1265608,FL,
1267010,CA,General Education
1267174,NY,Psychology
1268808,FL,Health Science
1271574,FL,Not Applicable
1271668,TX,Business Administration
1272348,FL,
1273111,GA,
1275808,IL,Biblical Studies
1276498,PA,academic
1276725,FL,
1277198,IL,Communications
1277344,TX,
1277643,GA,Computerize Office Technology
1278386,GA,Business Management & Computer Programming
1279224,GA,
1279338,TX,
1282579,MO,
1283311,KY,Medical Transcription
1284249,SC,Marriage and Family Therapy
1284335,TX,ACAD
1286030,CA,HR Management
1286690,FL,
1286737,PA,Business
1289779,TX,Communication Studies
1289863,IL,
1290839,IN,Nursing
1292050,CA,Accounting
1292379,CA,
1293850,NV,
1296693,GA,"Nursing/Registered Nurse (RN, ASN, BSN, MSN)"
1297013,MI,
1297676,CA,
1298867,IL,
1300043,IN,Business
1301070,IN,Communications
1301448,FL,
1301487,IN,Law Enforcement
1302611,GA,Business Management
1302992,FL,
1304674,IN,Diploma
1306171,IN,
1307476,KY,Psychology
1307653,NY,Criminal Law
